iter	Passed	Remaining
573	4571	3392
574	4577	3383
575	4585	3375
576	4591	3365
577	4598	3357
578	4605	3348
579	4611	3339
580	4619	3331
581	4625	3321
582	4632	3313
583	4639	3304
584	4645	3295
585	4652	3286
586	4658	3277
587	4666	3269
588	4672	3260
589	4679	3252
590	4685	3242
591	4692	3233
592	4700	3226
593	4707	3217
594	4715	3209
595	4722	3201
596	4730	3193
597	4736	3183
598	4742	3174
599	4749	3166
600	4756	3157
601	4763	3149
602	4769	3140
603	4775	3131
604	4782	3122
605	4789	3113
606	4796	3105
607	4803	3096
608	4811	3089
609	4821	3082
610	4831	3075
611	4840	3068
612	4853	3064
613	4864	3058
614	4873	3050
615	4883	3044
616	4893	3037
617	4900	3029
618	4910	3022
619	4918	3014
620	4927	3007
621	4935	2999
622	4943	2991
623	4950	2982
624	4957	2974
625	4965	2966
626	4974	2959
627	4981	2950
628	4988	2942
629	4996	2934
630	5016	2933
631	5032	2930
632	5045	2925
633	5055	2918
634	5069	2913
635	5080	2907
636	5093	2902
637	5104	2896
638	5116	2890
639	5126	2883
640	5135	2876
641	5144	2868
642	5151	2860
643	5158	2851
644	5166	2843
645	5175	2836
646	5185	2829
647	5192	2820
648	5200	2812
649	5208	2804
650	5215	2795
651	5222	2787
652	5229	2778
653	5235	2769
654	5242	2761
655	5249	2752
656	5257	2744
657	5263	2735
658	5270	2727
659	5277	2718
660	5283	2709
661	5290	2701
662	5296	2692
663	5304	2684
664	5310	2675
665	5317	2666
666	5325	2658
667	5332	2650
668	5340	2642
669	5347	2633
670	5355	2625
671	5362	2617
672	5372	2610
673	5379	2601
674	5386	2593
675	5393	2585
676	5400	2576
677	5407	2568
678	5413	2559
679	5422	2551
680	5429	2543
681	5443	2538
682	5452	2530
683	5460	2522
684	5468	2514
685	5476	2506
686	5484	2498
687	5491	2490
688	5500	2482
689	5507	2474
690	5515	2466
691	5522	2458
692	5531	2450
693	5540	2442
694	5548	2435
695	5555	2426
696	5564	2418
697	5572	2411
698	5590	2407
699	5608	2403
700	5620	2397
701	5633	2391
702	5646	2385
703	5657	2378
704	5668	2371
705	5683	2366
706	5698	2361
707	5708	2354
708	5719	2347
709	5729	2340
710	5738	2332
711	5750	2326
712	5761	2319
713	5770	2311
714	5781	2304
715	5790	2296
716	5800	2289
717	5809	2281
718	5820	2274
719	5829	2266
720	5836	2258
721	5845	2250
722	5854	2243
723	5864	2235
724	5873	2227
725	5882	2220
726	5889	2211
727	5899	2204
728	5906	2195
729	5915	2188
730	5922	2179
731	5932	2171
732	5939	2163
733	5949	2155
734	5956	2147
735	5965	2139
736	5973	2131
737	5982	2123
738	5989	2115
739	5997	2107
740	6004	2098
741	6012	2090
742	6019	2082
743	6027	2074
744	6034	2065
745	6043	2057
746	6049	2048
747	6057	2040
748	6066	2032
749	6074	2024
750	6096	2021
751	6103	2012
752	6112	2005
753	6119	1996
754	6128	1988
755	6135	1980
756	6143	1971
757	6149	1963
758	6158	1955
759	6165	1946
760	6172	1938
761	6179	1930
762	6186	1921
763	6194	1913
764	6200	1904
765	6209	1896
766	6215	1888
767	6223	1880
768	6230	1871
769	6237	1863
770	6244	1854
771	6252	1846
772	6260	1838
773	6266	1829
774	6275	1821
775	6281	1813
776	6289	1805
777	6296	1796
778	6304	1788
779	6310	1780
780	6317	1771
781	6325	1763
782	6331	1754
783	6339	1746
784	6346	1738
785	6353	1729
786	6360	1721
787	6367	1713
788	6375	1704
789	6381	1696
790	6390	1688
791	6397	1680
792	6405	1672
793	6412	1663
794	6420	1655
795	6427	1647
796	6436	1639
797	6444	1631
798	6452	1623
799	6461	1615
800	6469	1607
801	6477	1599
802	6484	1590
803	6491	1582
804	6498	1574
805	6507	1566
806	6514	1557
